name,desc,img,url
 ABOMEY,"L'intraitable cité des conquérants ou ""l'empire romain"" du golfe de guinée",https://www.gouv.bj/actualite/1018/destination-benin---abomey-intraitable-cite-conquerants-%22l-empire-romain%22-golfe-guinee/,https://www.gouv.bj/upload/thumbnails/articles/0696068001606673294.jpeg
 ABOMEY-CALAVI,"Au cœur de la plus grande cité estudiantine du Bénin, symbole des projets pharaoniques du gouvernement.",https://www.gouv.bj/actualite/1064/destination-benin---abomey-calavi-coeur-plus-grande-cite-estudiantine-benin--symbole-projets-pharaoniques-gouvernement./,https://www.gouv.bj/upload/thumbnails/articles/0820303001607707404.jpeg
 ADJA-OUERE,Terre de mixage culturel,https://www.gouv.bj/actualite/1031/destination-benin---adja-ouere--terre-mixage-culturel/,https://www.gouv.bj/upload/thumbnails/articles/0424750001606930389.jpeg
 ADJARRA,"Cité des tambours, commune d'origine des taxis-kannan, ancêtres des zémidjan.",https://www.gouv.bj/actualite/1041/destination-benin---adjarra--cite-tambours--commune-origine-taxis-kannan--ancetres-zemidjan./,https://www.gouv.bj/upload/thumbnails/articles/0178437001607155527.jpeg
 ADJOHOUN,Vivier culturel et cultuel au cœur de l’Ouémé,https://www.gouv.bj/actualite/1136/destination-benin---adjohoun--vivier-culturel-cultuel-coeur-oueme/,https://www.gouv.bj/upload/thumbnails/articles/0741393001610731829.jpeg
 AGBANGNIZOUN,Terre bénie des antilopes.,https://www.gouv.bj/actualite/1014/destination-benin---agbangnizoun--terre-benie-antilopes./,https://www.gouv.bj/upload/thumbnails/articles/0051388001606573559.jpeg
 AGUEGUES,Agréable expression des maisons sur pilotis,https://www.gouv.bj/actualite/1134/destination-benin---aguegues--agreable-expression-maisons-pilotis/,https://www.gouv.bj/upload/thumbnails/articles/0920155001610705091.jpeg
 AKPRO-MISSERETE,L’ode à une diversité vivifiante !,https://www.gouv.bj/actualite/1129/destination-benin---akpro-misserete-diversite-vivifiante--/,https://www.gouv.bj/upload/thumbnails/articles/0226711001610635822.jpeg
 ALLADA,"La cité d'Adjahouto, des origines à la modernité.",https://www.gouv.bj/actualite/1051/destination-benin---allada-cite-adjahouto-origines-modernite./,https://www.gouv.bj/upload/thumbnails/articles/0737328001607412722.jpeg
 APLAHOUE,"Cœur administratif du département du Couffo, commune aux innombrables potentialités économiques.",https://www.gouv.bj/actualite/993/destination-benin---aplahoue--coeur-administratif-departement-couffo--commune-innombrables-potentialites-economiques./,https://www.gouv.bj/upload/thumbnails/articles/0293889001606217852.png
 ATHIEME,"Cité des bois blancs, première productrice de crin-crin au Bénin",https://www.gouv.bj/actualite/1000/destination-benin---athieme-cite-bois-blancs--premiere-productrice-crin-crin-benin./,https://www.gouv.bj/upload/thumbnails/articles/0738785001606326727.jpeg
 AVRANKOU,Promesse d'un boom des industries touristiques et minières pour le Bénin.,https://www.gouv.bj/actualite/1038/destination-benin---avrankou---promesse-boom-industries-touristiques-minieres-benin./,https://www.gouv.bj/upload/thumbnails/articles/0010958001607111220.jpeg
 BANIKOARA,Cœur de l'or blanc béninois,https://www.gouv.bj/actualite/953/destination-benin---banikoara--coeur-blanc-beninois./,https://www.gouv.bj/upload/thumbnails/articles/0098280001605415018.jpeg
 BANTE,"Bienvenue au cœur du pays Isha, cité des pactes de terre !",https://www.gouv.bj/actualite/975/destination-benin---bienvenue-bante---coeur-pays-isha--cite-pactes-terre--/,https://www.gouv.bj/upload/thumbnails/articles/0071367001605863538.jpeg
 BASSILA,Une commune à Hauteur de taille,https://www.gouv.bj/actualite/965/destination-benin---bassila-hauteur-taille/,https://www.gouv.bj/upload/thumbnails/articles/0116753001605632348.jpeg
 BEMBEREKE,"La cité des Wèwèré boun,",https://www.gouv.bj/actualite/947/destination-benin---bembereke-cite-wewere-boun-/,https://www.gouv.bj/upload/thumbnails/articles/0473786001605348171.jpeg
 BOHICON,L'histoire du marché aux moutons devenu quatrième pôle économique du Bénin,https://www.gouv.bj/actualite/1050/destination-benin---bohicon-histoire-marche-moutons-devenu-quatrieme-pole-economique-benin/,https://www.gouv.bj/upload/thumbnails/articles/0156910001607360126.jpeg
 BONOU,"Mine touristique et cultuelle en pays wémè, au cœur de l'univers des forêts et des singes à ventre roux",https://www.gouv.bj/actualite/1135/destination-benin---bonou--mine-touristique-cultuelle-pays-weme-coeur-univers-forets-singes-ventre-roux/,https://www.gouv.bj/upload/thumbnails/articles/0467622001610721831.jpeg
 BOPA,La cité de l'or bleu,https://www.gouv.bj/actualite/1002/destination-benin---bopa-cite-bleu/,https://www.gouv.bj/upload/thumbnails/articles/0823171001606417159.jpeg
 BOUKOUMBE,"Cité des tatas, mine touristique au cœur de l'Atacora",https://www.gouv.bj/actualite/963/destination-benin---boukoumbe--cite-tatas--mine-touristique-coeur-atacora./,https://www.gouv.bj/upload/thumbnails/articles/0611349001605591515.jpeg
 COBLY,Discrète mais imposante par son relief et sa végétation,https://www.gouv.bj/actualite/962/destination-benin---cobly---discrete-mais-imposante-relief-vegetation/,https://www.gouv.bj/upload/thumbnails/articles/0962811001605596512.jpeg
 COME,Capitale sportive et culturelle du département du Mono,https://www.gouv.bj/actualite/1005/destination-benin---come---capitale-sportive-culturelle-departement-mono--/,https://www.gouv.bj/upload/thumbnails/articles/0995153001606460216.jpeg
 COPARGO,Au cœur de l'envoûtant décor de la cité des Yoas au pied du mont Tanéka,https://www.gouv.bj/actualite/1125/destination-benin---copargo-coeur-envoutant-decor-cite-yoas-pied-mont-taneka./,https://www.gouv.bj/upload/thumbnails/articles/0820656001610467921.jpeg
 COTONOU,"Poumon économique, pôle cosmopolite et vitrine du Bénin",https://www.gouv.bj/actualite/1066/destination-benin---cotonou--poumon-economique--pole-cosmopolite-vitrine-benin/,https://www.gouv.bj/upload/thumbnails/articles/0167603001607780384.jpeg
 COVE,Terre de mythes de cultes et de masques,https://www.gouv.bj/actualite/1021/destination-benin---cove--terre-mythes-cultes-masques/,https://www.gouv.bj/upload/thumbnails/articles/0713576001606803612.png
 DANGBO,"Richesse agricole inouïe, porte d’entrée dans la Vallée de l’Ouémé",https://www.gouv.bj/actualite/1045/destination-benin---dangbo--richesse-agricole-inouie--porte-entree-dans-vallee-oueme/,https://www.gouv.bj/upload/thumbnails/articles/0577067001607266368.jpeg
 DASSA-ZOUME,"Pays Idaascha, au sommet des 41 collines de la cité des Omondjagou",https://www.gouv.bj/actualite/983/destination-benin---dassa--zoume--pays-idaascha-sommet-41-collines-cite-omondjagou./,https://www.gouv.bj/upload/thumbnails/articles/0055566001605990575.jpeg
 DJAKOTOMEY,Cité de commerçants qui bousculent bien de pôles économiques.,https://www.gouv.bj/actualite/996/destination-benin---djakotomey--cite-commercants-bouscule-bien-poles-economiques./,https://www.gouv.bj/upload/thumbnails/articles/0296311001606230737.jpeg
 DJIDJA,Commune aux mille atouts pour la marche du Bénin vers la révolution verte,https://www.gouv.bj/actualite/1013/destination-benin---djidja--commune-mille-atouts-marche-benin-vers-revolution-verte./,https://www.gouv.bj/upload/thumbnails/articles/0261254001606562610.jpeg
 DJOUGOU,"La cité de Kpétoni, commune la plus peuplée du septentrion",https://www.gouv.bj/actualite/964/destination-benin---djougou-cite-kpetoni--commune-plus-peuplee-septentrion./,https://www.gouv.bj/upload/thumbnails/articles/0457837001605623946.jpeg
 DOGBO,Terre des adjas et des Hommes à queue.,https://www.gouv.bj/actualite/995/destination-benin---dogbo--terre-adjas-hommes-queue./,https://www.gouv.bj/upload/thumbnails/articles/0316589001606257735.jpeg
 GLAZOUÉ,"Terre des ignames, troisième plus grand marché du Bénin.",https://www.gouv.bj/actualite/984/destination-benin---glazoue--terre-ignames--troisieme-plus-grand-marche-benin./,https://www.gouv.bj/upload/thumbnails/articles/0579409001605987194.jpeg
 GOGOUNOU,Forteresse imprenable au coeur des collines de l'Alibori,https://www.gouv.bj/actualite/1100/destination-benin---gogounou--forteresse-imprenable-c%C5%92ur-collines-alibori/,https://www.gouv.bj/upload/thumbnails/articles/0446811001610174785.jpeg
 GRAND-POPO,Cité balnéaire bercée par l’Océan Atlantique et le fleuve Mono,https://www.gouv.bj/actualite/1012/destination-benin---grand-popo--cite-balneaire-bercee-ocean-atlantique-fleuve-mono/,https://www.gouv.bj/upload/thumbnails/articles/0548016001606546234.png
 HOUEYOGBE,"Siège de la poterie en terre cuite, terre de rythmes Vodoun",https://www.gouv.bj/actualite/1008/destination-benin---houeyogbe--siege-poterie-terre-cuite--terre-rythmes-vodoun/,https://www.gouv.bj/upload/thumbnails/articles/0846824001606494778.jpeg
 IFANGNI,"Terre de convergence, trait d'union entre le Bénin et le Nigéria",https://www.gouv.bj/actualite/1037/destination-benin---ifangni--terre-convergence--trait-union-entre-benin-nigeria/,https://www.gouv.bj/upload/thumbnails/articles/0775311001607076005.jpeg
 KALALE,Commune du plus jeune maire du Bénin,https://www.gouv.bj/actualite/943/destination-benin---kalale--commune-plus-jeune-maire-benin/,https://www.gouv.bj/upload/thumbnails/articles/0082214001605250379.jpeg
 KANDI,Carrefour incontournable dans l’alibori,https://www.gouv.bj/actualite/956/destination-benin---kandi--carrefour-incontournable-dans-alibori/,https://www.gouv.bj/upload/thumbnails/articles/0796880001605450207.jpeg
 KARIMAMA,"Dendi Ganda, Immense capital touristique rehaussé par le parc W",https://www.gouv.bj/actualite/1102/destination-benin--karimama--dendi-ganda--immense-capital-touristique-rehausse-parc-w./,https://www.gouv.bj/upload/thumbnails/articles/0928978001610094703.jpeg
 KEROU,"Cité à la croisée du borgou, de l'alibori et de l'atacora",https://www.gouv.bj/actualite/957/destination-benin---kerou--cite-croisee-borgou-alibori-atacora/,https://www.gouv.bj/upload/thumbnails/articles/0366959001605451297.jpeg
 KETOU,"Berceau du Guèlèdè, patrimoine culturel immatériel de l'Humanité.",https://www.gouv.bj/actualite/1027/destination-benin---ketou--berceau-guelede--patrimoine-culturel-immateriel-humanite./,https://www.gouv.bj/upload/thumbnails/articles/0163483001606824658.jpeg
 KLOUEKANMEY,Au cœur du plus célèbre champ de pois d'angole du Bénin,https://www.gouv.bj/actualite/990/destination-benin---klouekanme-coeur-plus-celebre-champ-pois-angole-benin./,https://www.gouv.bj/upload/thumbnails/articles/0271137001606152039.jpeg
 KOUANDE,Le trésor caché des bagana aux pieds de l'Atacora,https://www.gouv.bj/actualite/955/destination-benin---kouande-tresor-cache-bagana-pieds-atacora/,https://www.gouv.bj/upload/thumbnails/articles/0011193001605454516.jpeg
 KPOMASSE,"Entre pêche, pisciculture, maraichage et tourisme",https://www.gouv.bj/actualite/1056/destination-benin---kpomasse-entre-peche---pisciculture--maraichage-tourisme/,https://www.gouv.bj/upload/thumbnails/articles/0569429001607613107.jpeg
 LALO,Ville carrefour aux multiples facettes culturelles,https://www.gouv.bj/actualite/988/destination-benin---lalo--ville-carrefour-multiples-facettes-culturelles./,https://www.gouv.bj/upload/thumbnails/articles/0453899001606134901.jpeg
 LOKOSSA,"Ville de l'espérance, label d'excellence au sein du système éducatif du Bénin",https://www.gouv.bj/actualite/1006/destination-benin---lokossa--ville-esperance--label-excellence-sein-systeme-educatif-benin./,https://www.gouv.bj/upload/thumbnails/articles/0360953001606485143.jpeg
 MALANVILLE,Cité frontalière aux mille atouts,https://www.gouv.bj/actualite/949/destination-benin---malanville--cite-frontaliere-mille-atouts/,https://www.gouv.bj/upload/thumbnails/articles/0200979001605349494.png
 MATERI,Symbole de l'authenticité ethnique,https://www.gouv.bj/actualite/960/destination-benin---materi--symbole-authenticite-ethnique/,https://www.gouv.bj/upload/thumbnails/articles/0526806001605544300.jpeg
 N'DALI,LA CITÉ DE BONA KÉRI,https://www.gouv.bj/actualite/1093/destination-benin-dali-cite-bona-keri/,https://www.gouv.bj/upload/thumbnails/articles/0075071001610040953.jpeg
 NATITINGOU,"La cité de Nanto, commune aux cascades envoûtantes.",https://www.gouv.bj/actualite/954/destination-benin---natitingou-cite-nanto--commune-cascades-envoutantes./,https://www.gouv.bj/upload/thumbnails/articles/0952356001605489551.jpeg
 NIKKI,La légendaire cité des cavaliers baribas,https://www.gouv.bj/actualite/945/destination-benin---nikki-legendaire-cite-cavaliers-baribas/,https://www.gouv.bj/upload/thumbnails/articles/0540994001605266954.jpeg
 OUAKE,"Cité des baobas, terre des vainquers, réputée pour la « KAMOU », fête de la chicotte",https://www.gouv.bj/actualite/1126/destination-benin---ouake--cite-baobabs--terre-vainqueurs--reputee-kamou----fete-chicotte/,https://www.gouv.bj/upload/thumbnails/articles/0269089001610466620.jpeg
 OUASSA-PEHUNCO,La cité des pierres noires,https://www.gouv.bj/actualite/1118/destination-benin---pehunco-ouassa-pehunco-cite-pierres-noires/,https://www.gouv.bj/upload/thumbnails/articles/0401345001610305400.jpeg
 OUESSE,"Deuxième réserve mondiale de marbre bleu, terre arrosée par sept rivières",https://www.gouv.bj/actualite/982/destination-benin---ouesse--deuxieme-reserve-mondiale-marbre-bleu---terre-arrosee-sept-rivieres/,https://www.gouv.bj/upload/thumbnails/articles/0607099001605951021.jpeg
 OUIDAH,"La terre hxuéda, ville à vocation historique, culturelle, cultuelle et touristique",https://www.gouv.bj/actualite/1055/destination-benin---ouidah-terre-hxueda--ville-vocation-historique--culturelle--cultuelle-touristique/,https://www.gouv.bj/upload/thumbnails/articles/0644258001607598899.jpeg
 OUINHI,"Ouinhi, au cœur des forêts et des gisements de gypse et de latérite en pays Agonlin au Bénin",https://www.gouv.bj/actualite/1023/destination-benin---ouinhi-coeur-forets-gisements-gypse-laterite-pays-agonlin-benin./,https://www.gouv.bj/upload/thumbnails/articles/0439434001606803906.jpeg
 PARAKOU,Ville cosmopolite et pôle économique du septentrion,https://www.gouv.bj/actualite/939/destination-benin---parakou--ville-cosmopolite-pole-economique-septentrion/,https://www.gouv.bj/upload/thumbnails/articles/0576391001605196118.jpeg
 PERERE,FIÈRE CITÉ ET SYMBOLE DE BRAVOURE DE SAKA YERIMA.,https://www.gouv.bj/actualite/1094/destination-benin---perere--fiere-cite-symbole-bravoure-saka-yerima./,https://www.gouv.bj/upload/thumbnails/articles/0647322001610019040.png
 POBE,Hommage à Onigbolo pour son calcaire qui construit le Bénin,https://www.gouv.bj/actualite/1029/destination-benin---pobe--hommage-onigbolo-calcaire-construit-benin/,https://www.gouv.bj/upload/thumbnails/articles/0435306001606896540.jpeg
 PORTO-NOVO,Condensé d'histoire et de culture où la fête adoucit les moeurs,https://www.gouv.bj/actualite/1048/destination-benin---porto-novo--condense-histoire-culture-fete-adoucit-moeurs/,https://www.gouv.bj/upload/thumbnails/articles/0828925001607276794.jpeg
 SAKETE,"Sur les rives d’ « ODO YANSA » , la terre promise des « OBA »",https://www.gouv.bj/actualite/1042/destination-benin---sakete-rives-yansa-terre-promise-/,https://www.gouv.bj/upload/thumbnails/articles/0536314001607264881.jpeg
 SAVALOU,"Elle ne réclame plus sa beauté, elle l'entretient simplement",https://www.gouv.bj/actualite/980/destination-benin---savalou-reclame-plus-beaute--elle-entretient-simplement./,https://www.gouv.bj/upload/thumbnails/articles/0400934001605948684.jpeg
 SAVE,SAVÈ vous accueille sous ses mamelles,https://www.gouv.bj/actualite/936/destination-benin---save--vous-accueille-sous-mamelles/,https://www.gouv.bj/upload/thumbnails/articles/0585861001605176578.jpeg
 SEGBANA,"SEH GBA BE, ce n'est pas ce qu'on a toujours entendu",https://www.gouv.bj/actualite/1101/destination-benin---segbana-toujours-entendu/,https://www.gouv.bj/upload/thumbnails/articles/0019846001610174552.jpeg
 SEME-PODJI,Une promesse de fleuron industriel pétrie d'autres atouts,https://www.gouv.bj/actualite/1131/destination-benin---seme-podji-promesse-fleuron-industriel-petrie-autres-atouts/,https://www.gouv.bj/upload/thumbnails/articles/0950545001610649089.jpeg
 SINENDE,"La cité de Bona Koné, cœur de la production agricole du Borgou.",https://www.gouv.bj/actualite/1104/destination-benin---sinende-cite-bona-kone--coeur-production-agricole-borgou./,https://www.gouv.bj/upload/thumbnails/articles/0907491001610184091.jpeg
 SO-AVA,"Cité pittoresque, au cœur de l'art de la vie sur l'eau",https://www.gouv.bj/actualite/1130/destination-benin-cite-pittoresque-coeur-eau/,https://www.gouv.bj/upload/thumbnails/articles/0499541001610637837.jpeg
 TANGUIETA,Une vue surprenante à travers la montagne fendue,https://www.gouv.bj/actualite/1122/destination-benin---tanguieta--vous-offre-surprenante-travers-montagne-fendue/,https://www.gouv.bj/upload/thumbnails/articles/0652235001610360444.jpeg
 TCHAOUROU,"Porte d'entrée du grand Borgou, la plus vaste commune du Bénin",https://www.gouv.bj/actualite/937/destination-benin---tchaourou--porte-entree-grand-borgou-plus-vaste-commune-benin/,https://www.gouv.bj/upload/thumbnails/articles/0770193001605184383.jpeg
 TOFFO,"Terre d'histoire et de culture, berceau du cardinal Bernardin GANTIN.",https://www.gouv.bj/actualite/1053/destination-benin---toffo-terre-histoire-culture--berceau-cardinal-bernardin-gantin./,https://www.gouv.bj/upload/thumbnails/articles/0144247001607371326.png
 TORI-BOSSITO,Un potentiel agro-culturel sur un air de centre aéré,https://www.gouv.bj/actualite/1058/destination-benin---tori-bossito-potentiel-agro-culturel-centre-aere/,https://www.gouv.bj/upload/thumbnails/articles/0819689001607507729.jpeg
 TOUKOUNTOUNA,Une terre d'hospitalité logée entre les chaines de l'Atacora,https://www.gouv.bj/actualite/1123/destination-benin---toucountouna-terre-hospitalite-logee-entre-chaines-atacora/,https://www.gouv.bj/upload/thumbnails/articles/0000273001610344076.jpeg
 TOVIKLIN,La commune à forte majorité féminine,https://www.gouv.bj/actualite/989/destination-benin---toviklin-commune-forte-majorite-feminine/,https://www.gouv.bj/upload/thumbnails/articles/0849119001606149607.jpeg
 ZA-KPOTA,Joyau culturel et agricole aux origines fraternelles et hospitalières au cœur du plateau d'Abomey,https://www.gouv.bj/actualite/1024/destination-benin-kpota-joyau-culturel-agricole-origines-fraternelles-hospitalieres-coeur-plateau-abomey-./,https://www.gouv.bj/upload/thumbnails/articles/0846342001606804138.jpeg
 ZAGNANADO,La terre ou la nuit tomba,https://www.gouv.bj/actualite/1022/destination-benin---zagnanado-terre-nuit-tomba/,https://www.gouv.bj/upload/thumbnails/articles/0790956001606803725.jpeg
 ZE,"Cœur de la civilisation Aïzo au Bénin, commune abritant le plus grand marché de bétail au Bénin",https://www.gouv.bj/actualite/1063/destination-benin-coeur-civilisation-aizo-benin--commune-abritant-plus-grand-marche-betail-benin./,https://www.gouv.bj/upload/thumbnails/articles/0332197001607674947.jpeg
 ZOGBODOMEY,Riche patrimoine écologique au cœur de la Lama,https://www.gouv.bj/actualite/1020/destination-benin---zogbodomey--riche-patrimoine-ecologique-coeur-lama/,https://www.gouv.bj/upload/thumbnails/articles/0980720001606726859.jpeg
